year,month,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022,1,19.1,92.0,0.1,908.7
2022,2,19.1,92.0,0.0,909.2
2022,3,19.8,84.0,0.0,910.1
2022,4,18.45,83.0,0.0,911.3
2022,5,14.8,79.0,0.0,912.4
2022,6,15.4,73.0,0.0,913.1
2022,7,15.850000000000001,59.0,0.0,914.4
2022,8,16.7,56.0,0.0,914.0
2022,9,18.6,61.0,0.0,912.3
2022,10,19.8,72.0,0.0,910.7
2022,11,18.8,78.0,0.0,910.8
2022,12,20.4,86.0,0.0,910.5
2023,1,20.5,88.0,0.1,911.8
2023,2,21.8,86.0,0.0,912.6
2023,3,21.65,82.0,0.0,913.4
2023,4,19.7,81.0,0.0,912.8
2023,5,17.3,76.0,0.0,914.8
2023,6,15.8,78.0,0.0,916.1
2023,7,16.7,72.0,0.0,916.5
2023,8,18.8,69.5,0.0,915.3
2023,9,23.0,60.0,0.0,914.25
2023,10,22.6,80.0,0.0,912.2
2023,11,23.9,71.5,0.0,911.5
2023,12,23.3,76.0,0.0,911.8
